From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Information Commissioner’s Office,The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
Gemalto,Trust in Digital Life,,General Member,,,,,,,,,
Identification cards – Machine readable travel documents – Part 2: Machine readable visasInformation technology – Open terminal architecture (OTA) specification – Virtual machine specification (20060),Integrated Circuit Cards with Contacts WG4,,Specification of Group,,,,,,,,,
Connecting Europe Facility CEF  Telecom Expert Group,CEF Telecom Expert Group Meeting - Summary Report,,Author,,,,,,,,,
Online Identity,Privacy and Identity,,Specification of Group,,,,,,,,,
Thomas Hardjono,SAML - Security Assertion Markup Language,,Chair / Vice Chair,,,,,,,,,
Fast Federation,OpenID Foundation,,Organization for Group,,,,,,,,,
Thomas Hardjono,Group Security Research Group,,Chair / Vice Chair,,,,,,,,,
Anoop Saxena,Intuit,,Employee,,,,,,,,,
Pam Dingle,Ping Identity,,Employee,,,,,,,,,
comsign,OIX-UK,,General Member,,,,,,,,,
Cross-Enterprise Security and Privacy Authorization (XSPA),OASIS,,Organization for Group,,,,,,,,,
RISC,OpenID Foundation,,Organization for Group,,,,,,,,,
White House - Office of Science and Technology Policy,Consumer Data Privacy in a Networked World,,Author,,,,,,,,,
Adam Cooper,iGov Working Group,,Chair / Vice Chair,,,,,,,,,
Justin Richer,OAuth Dynamic Client Registration Management (RFC7592),,Author,,,,,,,,,
Canadian Internet Registration Authority (CIRA),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,At the Nexus of Cybersecurity and Public Policy: Some Basic Concepts and Issues,,Author,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eID,,Government Connection,,,,,,,,,
Digitizing European Industry,The Fourth Industrial Revolution,,Government Connection,,,,,,,,,
"ATIS   The Alliance for Telecommunications Industry Solutions, USA",Global Standards Collaboration,,General Member,,,,,,,,,
IEEE Internet of Things,IEEE IoT Scenarios,,Organization for Group,,,,,,,,,
eServices,Secure Identity Alliance,,Organization for Group,,,,,,,,,
Directorate-General for Informatics (DIGIT),eID,Technical Management,Government Connection,,,,,,,,,
European Commission,eIDAS,,Author,,,,,,,,,
Tony Nadalin,Identity in the Cloud,,Chair / Vice Chair,,,,,,,,,
B. Campbell,OpenID Connect Front-Channel Logout 1.0,,Author,,,,,,,,,
Digital Catapult,Consent and Information Sharing Working  Group,,Connection,,,,,,,,,
GAIA Global Access to the Internet for All Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Mike Jones,OpenID Connect Federation 1.0,,Author,,,,,,,,,
Internet Research Task Force IRTF,IETF,,Organization for Group,,,,,,,,,
Digital Catapult,OIX-UK,,General Member,,,,,,,,,
Chair of Mobile Business & Multilateral Security,ABC4Trust,,General Member,,,,,,,,,
Microsoft Belgium NV,ABC4Trust,,General Member,,,,,,,,,
National Strategy for Trusted Identities in Cyberspace (NSTIC) - National Program Office,National Institute of Standards (NIST),,Government Connection,,,,,,,,,
Internet Society ISOC,NDSS Symposium Network and Distributed System Security Symposium 2017,,Convenor,,,,,,,,,
Uniform Law Commission,United States Government,,Government Connection,,,,,,,,,
IBM Research - Zurich,ABC4Trust,,General Member,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eHealth Digital Service Infrastructure,,Government Connection,,,,,,,,,
Gershon Janssen,Identity in the Cloud,,Person Affiliated,,,,,,,,,
Electronic Verification of Vital Events (EVVE),National Association for Public Health Statistics and Information Systems,,Organization for Group,,,,,,,,,
Open PEPPOL,eInvoicing,,Connection,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Forensic Implications,,Author,,,,,,,,,
Goethe University: Frankfurt,Trust in Digital Life,,General Member,,,,,,,,,
MODRNA Authentication Profile,MONDRNA,,Specification of Group,,,,,,,,,
Online Identity,Understanding your Online Identity Protecting Your Privacy,,Author,,,,,,,,,
Association Française pour le Nommage Internet en Coopération (AFNIC),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Aadhaar - Unique Identification Authority of India UIDAI,Indian Government,,Government Connection,,,,,,,,,
Anoop Saxena,Financial API Working Group,,Chair / Vice Chair,,,,,,,,,
XRI Data Interchange (XDI) TC,OASIS,,Organization for Group,,,,,,,,,
Australia,Office of the Australian Information Commissioner,,Government Connection,,,,,,,,,
Consent Receipt Specification,Canadian Submission on Behalf of CISWG,,Author,,,,,,,,,
Digitizing European Industry,Communication: ICT Standardisation Priorities for the Digital Single Market,,Author,,,,,,,,,
Intel,Trust in Digital Life,,General Member,,,,,,,,,
Thomas Hardjono,User Managed Access,,Person Affiliated,,,,,,,,,
Vyjayanti Desai,ID4D,,Chair / Vice Chair,,,,,,,,,
IEEE Computer Society,IEEE Smart Cities,,Organization for Group,,,,,,,,,
ICAO,United Nations,,,,,,,,,,,
Anthony Nadalin,Microsoft,,Employee,,,,,,,,,
European Commission,Cybersecurity and Digital Privacy European Commission,,Government Connection,,,,,,,,,
Working Party on Security and Privacy in the Digital Economy (WPSDE),The Economics of Personal Data and Privacy: 30 Years after the OECD Privacy Guidelines,,Convenor,,,,,,,,,
University of Twente,Trust in Digital Life,,General Member,,,,,,,,,
